,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Actor
0,-96.46202,120.98026,-13.136194,32.51784,-6.1420603,23.732136,-7.236695,13.8665285,-8.301774,11.885942,-9.855862,9.331906,-6.256453,4.810724,1.501608,4.0428247,-6.1001964,1.7509358,-5.8176475,-2.349553,-3.2747602,3.1091897,-3.7227135,-0.58477944,-3.358029,-3.1255758,-4.1379156,-1.5231463,0.830989,2.4795249,-1.2134178,-4.938695,-3.9839768,-2.1524713,-0.92100656,-1.3671201,-2.3560014,-3.9562454,-2.9208882,-2.5611198,Ajith
1,-177.50673,114.59962,-15.159489,28.136223,4.4202495,7.7704663,-9.920183,7.6292777,-15.847363,12.532419,-16.93253,1.7414448,-12.976249,-3.8876665,-2.892996,4.5383873,-6.2592077,5.0233836,-2.9791398,-5.816155,-14.9064455,-3.371569,-1.7848848,0.15792158,-1.3824948,-4.464689,-7.321039,-5.384921,-4.7783837,-2.1400654,-0.7536989,-3.5175242,-7.8962097,-0.90039104,-0.30789363,-2.5198057,-0.19578257,-4.971594,-0.17178941,-1.1246784,Ajith
2,-167.54503,119.68055,0.7810209,43.53969,13.978475,17.07131,4.8521295,13.0598,-12.813027,16.195923,-8.213156,16.058086,-8.470743,1.6009566,1.5299004,7.797421,-8.469758,5.831645,-7.2024274,-0.4472273,-5.8567605,0.980815,-4.507641,-2.6573956,-1.8378606,-0.54176533,-1.8367728,-3.1381037,-1.0392522,2.4362602,0.65692127,-0.05601384,-3.1773996,0.121418,-3.3254125,-0.21547413,-0.46706054,-3.7892556,-0.48453632,0.09990975,Ajith
3,-176.82582,104.19141,-3.9628088,36.91024,7.140813,20.968763,-0.74535143,10.096534,-9.859326,14.988376,-2.9073808,10.11637,-12.117817,6.587849,-4.050671,5.111091,-6.9330754,4.614945,-6.4867783,0.430284,-3.2325716,0.37318408,-2.7700853,3.206272,-2.334749,-1.6497036,-4.450766,-0.4976985,-1.2982922,2.637571,2.1773598,0.7714722,-2.9501534,-1.6546329,-2.4658105,-0.67172486,0.7040418,-0.41654006,0.351353,1.3474357,Ajith
4,-118.63702,105.61698,-4.516064,32.764156,1.0675957,17.879118,-1.1456751,13.193255,-12.353978,14.655011,-6.3248878,10.72008,-8.309744,5.0163507,-2.6541462,8.097562,-8.362576,6.4678016,-6.7409277,2.2902682,-4.1614776,2.401186,-4.262452,1.4339912,-2.5710351,-0.59016436,-4.5001335,-0.09764733,-3.4801846,2.2479205,0.5654121,-0.15046798,-3.7599416,-2.2912667,-2.9733675,-0.8845628,-0.63698614,-1.0074465,-1.8983207,2.6650853,Ajith
5,-90.29183,100.48238,-9.263736,29.537807,-2.7550251,15.940684,-3.9558241,13.679534,-12.148264,15.555445,-7.1658707,11.111548,-8.579318,5.9520006,-2.7922523,7.596323,-8.902081,6.385459,-7.291922,2.1919968,-4.6805773,3.1713674,-4.9353447,1.977921,-3.0174105,-0.68843466,-4.748715,1.0317925,-3.7933645,2.5585449,-0.54362565,0.055383578,-2.6317503,-1.8901896,-3.2541993,-1.0257285,-1.0153447,0.4977945,-1.4597356,3.3050797,Ajith
6,-207.10077,103.03666,-9.119038,39.86605,4.751646,18.852518,-8.4377365,7.58992,-8.80114,10.668326,0.50176454,7.155141,-5.541025,5.035179,0.8967902,7.6841683,-2.6020856,4.127406,-5.762988,-1.3276638,-7.0104427,1.4732924,1.3731191,3.3165092,-3.609615,-0.42769718,-2.7533786,-4.1837206,-4.486182,-1.3411428,3.93091,2.2926586,-4.5289574,-0.52129745,-0.26466215,0.5579971,2.306153,-3.8371181,-3.5159822,0.2369018,Ajith
7,-185.19025,97.056885,4.332121,28.893373,-4.439499,13.762806,-2.0797276,10.790281,-16.804913,15.350006,-10.595083,13.223489,-9.342257,1.6480691,-8.24017,5.4402995,-10.794027,4.5391355,-8.127333,-0.000599254,-9.476149,-0.35860285,-10.452883,-2.0758586,-6.360878,-2.04075,-5.040818,-2.8226888,-7.8001814,-4.190262,-3.6747572,1.8903884,-1.5430815,-1.0041249,-2.681768,0.31199864,-1.1160979,-0.19696778,-4.0841427,-1.866683,Ajith
8,-175.10426,99.69625,-4.4088717,29.374853,-3.6490726,16.997713,-11.753684,11.914647,-10.959311,11.392411,-14.9180155,9.94876,-6.608882,6.315032,-5.887003,6.560582,-9.290128,3.6842165,-6.716338,3.643714,-5.1257553,0.9058047,-5.452384,2.271827,-3.7372336,1.2233307,-1.7961968,-0.6688953,-4.562398,-1.0329,-3.1868675,-1.0996181,-4.0061297,-2.3264737,-3.679959,-3.0078425,-2.516082,-3.0245345,-3.2934024,-0.9748431,Ajith
9,-347.41238,124.6073,3.435094,35.203026,13.558854,16.953115,-1.1573534,4.56246,-8.394192,1.7706535,-10.937935,10.726902,-7.7023683,2.1287515,0.20425494,2.6949093,-0.2960609,-2.4660766,-2.7761774,3.2369556,-6.055425,-0.014878106,-4.097529,-3.1657224,-3.6003106,-2.3639288,-3.3271663,-2.8387294,-3.7173564,-2.1687486,-2.5379372,-3.6397045,-2.1630082,-3.7595353,-2.085439,-0.8927363,-2.2126868,-1.6243784,-2.055246,-1.9426092,Ajith
10,-349.08707,108.2633,0.56876975,30.822996,6.3599353,20.601442,0.60550743,12.234774,-9.478799,-2.3801177,-4.1751432,5.390602,-11.534126,-4.4771466,-4.353148,5.8643684,4.2296114,12.537012,12.066485,-3.3928232,-11.195882,3.2357929,-2.453828,3.6453328,-2.7257915,-7.207964,-3.135081,-8.847626,-0.8044017,-6.5166016,-8.429717,-4.758775,-1.714163,3.6967814,-0.006381121,1.5646162,6.4512014,-3.033847,-9.041823,-0.52180916,Ajith
11,-297.58554,114.13322,17.45539,32.84954,7.8780885,12.417495,0.398973,9.954234,-7.4088163,15.060135,-10.632048,10.023348,-4.942411,-2.2346184,1.7445353,5.03881,-3.7185395,7.900295,-2.3089013,-1.3178566,-6.2959375,0.6125709,-5.6059966,-4.0594482,-2.7038045,-3.271695,-2.3998122,-5.8050303,-4.1557665,-4.7615366,-3.718722,0.02192329,0.1960346,-2.0580862,-1.9977672,-0.7829668,-3.5717466,-3.580555,-3.20917,-3.2140617,Ajith
12,-360.24124,125.87827,5.573125,37.630447,12.118387,19.456102,3.3782084,4.424203,-2.4118514,-2.2555294,-5.913787,6.3481565,-11.422777,1.0177402,-2.9941103,3.5760407,3.839579,8.949706,10.972601,0.31310666,-12.39029,2.5681534,-3.436296,0.7891995,-2.9580426,-5.432977,-5.8785357,-6.311847,-4.843308,-8.615163,-7.1498995,-6.46284,-1.8435248,1.061736,3.7744572,3.440566,2.1234908,-3.317164,-7.3675537,0.5055417,Ajith
13,-319.6905,110.434135,15.480893,42.45411,15.7290325,15.658861,1.0509001,8.980994,-6.0153084,11.192242,-7.1131206,8.066974,-1.8907528,1.5902585,0.8454443,3.8930087,-2.243187,4.650379,3.8122401,-4.3240657,-5.565103,1.8327235,-3.0184076,-2.1690834,-2.429815,-0.2734028,-2.9361837,-1.9029118,-2.799778,-1.5975558,-4.466045,-2.0172513,-4.4874473,-4.0174465,-1.1318011,-1.2381594,-1.786678,-6.5879035,-1.9689603,-0.2559012,Ajith
14,-377.19592,123.08668,13.409103,32.69966,20.097364,9.782944,11.838753,5.6453576,-4.0662637,9.149886,-12.344512,11.164753,-0.72437423,-3.4942398,3.3065863,1.0347375,-1.6457027,2.5036905,-2.2467184,0.42104515,-6.5638714,0.2885629,-5.3641367,-4.169139,-3.699367,-2.5913484,-2.738464,-4.809121,-1.0447006,-2.8047452,-2.8956885,-2.3984973,-1.0812285,-1.3930416,-0.9781302,-2.756634,-1.7485836,-1.919337,-0.702394,-1.903598,Ajith
